"","Longitude","Latitude","Time","Temperature","Relative Humidity"
"1",40.4000015258789,37.2000007629395,2020-01-01 00:00:00,279.43859069339,97.6072698737471
"2",40.4000015258789,37.2000007629395,2020-01-01 01:00:00,279.174711694409,97.8283200733387
"3",40.4000015258789,37.2000007629395,2020-01-01 02:00:00,278.754072894054,98.2447779562244
"4",40.4000015258789,37.2000007629395,2020-01-01 03:00:00,278.380462034112,98.6319276180217
"5",40.4000015258789,37.2000007629395,2020-01-01 04:00:00,278.313839118528,98.7371719504949
"6",40.4000015258789,37.2000007629395,2020-01-01 05:00:00,278.205413589244,98.7940367301813
"7",40.4000015258789,37.2000007629395,2020-01-01 06:00:00,278.533302840452,98.6738157695919
"8",40.4000015258789,37.2000007629395,2020-01-01 07:00:00,280.410501461912,96.8802789894641
"9",40.4000015258789,37.2000007629395,2020-01-01 08:00:00,281.780843392261,94.8557974008928
"10",40.4000015258789,37.2000007629395,2020-01-01 09:00:00,282.595994359408,93.1830215163083
"11",40.4000015258789,37.2000007629395,2020-01-01 10:00:00,283.003569842982,92.4641726878519
"12",40.4000015258789,37.2000007629395,2020-01-01 11:00:00,283.13028401576,92.2876304901929
"13",40.4000015258789,37.2000007629395,2020-01-01 12:00:00,282.973524214385,92.193693962956
"14",40.4000015258789,37.2000007629395,2020-01-01 13:00:00,282.675680591774,91.9266189279819
"15",40.4000015258789,37.2000007629395,2020-01-01 14:00:00,282.038190732851,92.633208677095
"16",40.4000015258789,37.2000007629395,2020-01-01 15:00:00,281.337996953378,94.3781536100949
"17",40.4000015258789,37.2000007629395,2020-01-01 16:00:00,280.652172822364,94.8858311830558
"18",40.4000015258789,37.2000007629395,2020-01-01 17:00:00,280.202794725091,94.909413348077
"19",40.4000015258789,37.2000007629395,2020-01-01 18:00:00,279.694631702301,95.3947792584177
"20",40.4000015258789,37.2000007629395,2020-01-01 19:00:00,277.716845541626,97.8800981056354
"21",40.4000015258789,37.2000007629395,2020-01-01 20:00:00,276.653491555636,98.9065167457822
"22",40.4000015258789,37.2000007629395,2020-01-01 21:00:00,275.895819182326,99.571428693537
"23",40.4000015258789,37.2000007629395,2020-01-01 22:00:00,275.797844306466,99.3623378313962
"24",40.4000015258789,37.2000007629395,2020-01-01 23:00:00,275.01665796295,99.6001622915794
"25",40.4000015258789,37.2000007629395,2020-01-02 00:00:00,275.176030427681,99.5313838390383
"26",40.4000015258789,37.2000007629395,2020-01-02 01:00:00,275.258329323403,99.3222101081393
"27",40.4000015258789,37.2000007629395,2020-01-02 02:00:00,275.741672044307,99.1608015232691
"28",40.4000015258789,37.2000007629395,2020-01-02 03:00:00,276.089156270687,98.9562436611108
"29",40.4000015258789,37.2000007629395,2020-01-02 04:00:00,276.253754062131,98.7309322854981
"30",40.4000015258789,37.2000007629395,2020-01-02 05:00:00,276.469298789021,98.5407815038849
"31",40.4000015258789,37.2000007629395,2020-01-02 06:00:00,277.646303631008,97.9039782930405
"32",40.4000015258789,37.2000007629395,2020-01-02 07:00:00,279.128990085675,96.456279854554
"33",40.4000015258789,37.2000007629395,2020-01-02 08:00:00,279.859229493745,95.7868423406022
"34",40.4000015258789,37.2000007629395,2020-01-02 09:00:00,280.607757545308,94.9421836140424
"35",40.4000015258789,37.2000007629395,2020-01-02 10:00:00,280.683524782639,95.4990666664104
"36",40.4000015258789,37.2000007629395,2020-01-02 11:00:00,280.793256643601,96.3299118673303
"37",40.4000015258789,37.2000007629395,2020-01-02 12:00:00,280.94740378162,96.1974402365712
"38",40.4000015258789,37.2000007629395,2020-01-02 13:00:00,280.452304075612,96.9778859324338
"39",40.4000015258789,37.2000007629395,2020-01-02 14:00:00,279.847472508642,97.4701647312137
"40",40.4000015258789,37.2000007629395,2020-01-02 15:00:00,279.340615817531,97.6664156730232
"41",40.4000015258789,37.2000007629395,2020-01-02 16:00:00,278.755379225732,97.8783587458616
"42",40.4000015258789,37.2000007629395,2020-01-02 17:00:00,278.733171587204,97.3620039369519
"43",40.4000015258789,37.2000007629395,2020-01-02 18:00:00,278.243297207909,97.3077861323036
"44",40.4000015258789,37.2000007629395,2020-01-02 19:00:00,278.445778618018,98.1583017763496
"45",40.4000015258789,37.2000007629395,2020-01-02 20:00:00,278.042122129478,98.3341958369634
"46",40.4000015258789,37.2000007629395,2020-01-02 21:00:00,278.002932179135,98.383514378128
"47",40.4000015258789,37.2000007629395,2020-01-02 22:00:00,278.001625847457,98.3526881393692
"48",40.4000015258789,37.2000007629395,2020-01-02 23:00:00,278.206719920922,98.1775674214955
"49",40.4000015258789,37.2000007629395,2020-01-03 00:00:00,278.287712484965,97.8805406019416
"50",40.4000015258789,37.2000007629395,2020-01-03 01:00:00,278.501950880177,97.8655517862783
"51",40.4000015258789,37.2000007629395,2020-01-03 02:00:00,278.345191078802,97.8229537880838
"52",40.4000015258789,37.2000007629395,2020-01-03 03:00:00,278.174061628969,97.9987597051375
"53",40.4000015258789,37.2000007629395,2020-01-03 04:00:00,278.150547658762,98.0596682706586
"54",40.4000015258789,37.2000007629395,2020-01-03 05:00:00,277.954597907044,98.1613326690956
"55",40.4000015258789,37.2000007629395,2020-01-03 06:00:00,278.784118522651,97.6564537316342
"56",40.4000015258789,37.2000007629395,2020-01-03 07:00:00,280.262885982284,96.5843281128423
"57",40.4000015258789,37.2000007629395,2020-01-03 08:00:00,281.560073338658,95.1252810607721
"58",40.4000015258789,37.2000007629395,2020-01-03 09:00:00,282.467973854952,93.8722363860729
"59",40.4000015258789,37.2000007629395,2020-01-03 10:00:00,282.662617274992,93.3595528050368
